year,julian-day,standard-time,Solar_Wm2,Rain_mm,Wind_ms.1,Tair_C,Tsoil_C,D_kPa,GW,E-MD,P-PD,P-MD,leaftemp,leaf-air-temp-diff
2023,205,21,0.0,0.25,1.849667,38.85775,39.59000000000003,5.717713693889068,,,,,36.89555555555555,-1.9621944444444495
2023,205,22,0.0,0.25,1.201667,38.53541,37.94,5.651176042900902,,,,,36.70444444444445,-1.8309655555555508
2023,205,23,0.0,0.25,0.0,37.62996,36.370000000000005,5.29776241879461,,,,,36.117777777777775,-1.512182222222222
2023,206,0,0.0,6.57,0.0,35.69482,34.900000000000034,4.5835852484922555,,,,,33.80222222222223,-1.8925977777777732
2023,206,1,0.0,0.0,1.191,34.77562,33.59000000000003,4.259104291604946,,,,,31.54888888888889,-3.226731111111114
2023,206,2,0.0,0.25,0.9783,34.06855,32.33000000000004,3.98015285953671,,,,,32.04333333333333,-2.0252166666666724
2023,206,3,0.0,0.0,1.348333,33.36382,31.140000000000043,3.695668449099208,,,,,31.71111111111111,-1.6527088888888883
2023,206,4,0.0,0.25,0.5573,32.14143,30.090000000000032,3.2687334839421287,,,,,30.474444444444444,-1.6669855555555557
2023,206,5,0.0,0.25,1.183,31.91322,29.19,3.2223307487690898,,,,,29.799999999999997,-2.113220000000002
2023,206,6,8.752735229759299,6.57,0.8614333,31.26022,28.54000000000002,3.0132961498196855,,,,,28.33,-2.930220000000002
2023,206,7,79.32166301969364,0.25,1.447,33.07912,28.90000000000003,3.527729555850548,,,,,28.781111111111116,-4.298008888888887
2023,206,8,166.3019693654267,0.25,0.9867666,34.84526,30.30000000000001,4.041223231782918,,,,,30.483333333333334,-4.361926666666669
2023,206,9,248.9059080962801,0.25,0.7229334,36.52399,32.02000000000004,4.620729148166899,,,,,31.709999999999997,-4.81399
2023,206,10,321.1159737417943,0.25,1.372333,38.33313,33.93000000000001,5.353134544938984,,,,,33.085,-5.248129999999996
2023,206,11,369.8030634573304,0.25,0.8040333,40.47663,36.0,6.2285971032494,,,,,34.595555555555556,-5.881074444444444
2023,206,12,398.24945295404814,6.57,2.273667,41.66925,38.05000000000001,6.7744725515131226,,,,,36.58888888888889,-5.0803611111111096
2023,206,13,391.1378555798687,0.0,2.457667,42.85283,39.96000000000003,7.311346361599344,,,,,37.621111111111105,-5.231718888888892
2023,206,14,365.9737417943107,0.0,1.273667,43.44913,41.68000000000001,7.633427671250129,,,,,38.32333333333334,-5.125796666666659
2023,206,15,315.09846827133475,0.0,3.204333,44.42491,43.04000000000002,8.165780818435053,,,,2.4486666666666665,39.763333333333335,-4.661576666666662
2023,206,16,246.1706783369803,0.25,2.039,44.4362,43.920000000000016,8.183638523222436,,,,,39.72777777777778,-4.708422222222218
2023,206,17,169.58424507658643,0.25,1.873667,44.84504,44.29000000000002,8.465246572610893,,,,,39.647777777777776,-5.197262222222221
2023,206,18,88.62144420131291,6.57,2.129667,44.31581,44.129999999999995,8.170713459192287,,,,,38.10444444444445,-6.2113655555555525
2023,206,19,25.71115973741794,0.25,2.004333,43.58532,43.49000000000001,7.888207833708243,,,,,37.27,-6.31532
2023,206,20,0.0,0.25,1.980333,42.36499,41.74000000000001,7.273721861319101,,,,,38.72888888888889,-3.6361011111111097
2023,206,21,0.0,0.0,1.817667,41.53223,39.81,6.920745376614222,,,,,38.50222222222222,-3.030007777777776
2023,206,22,0.0,0.0,2.263,40.69918,38.07000000000005,6.581465576605623,,,,,38.19222222222223,-2.506957777777771
2023,206,23,0.0,0.0,2.423,39.80951,36.43000000000001,6.181195378975802,,,,,37.666666666666664,-2.1428433333333388
2023,207,0,0.0,6.57,2.444333,38.78339,34.910000000000025,5.777079187108261,,,,,37.02666666666667,-1.7567233333333263
2023,207,1,0.0,0.0,2.513667,37.69836,33.56,5.3652682694534,,,,,36.55,-1.1483600000000038
2023,207,2,0.0,0.0,1.481667,36.6044,32.28000000000003,4.964987532621406,,,,,34.961111111111116,-1.6432888888888826
2023,207,3,0.0,0.25,1.777667,36.71379,31.100000000000023,5.024966284799888,,,,,34.68111111111111,-2.0326788888888956
2023,207,4,0.0,0.25,0.0,33.87327,30.04000000000002,3.982852533604326,,,0.6519999999999999,,31.354444444444443,-2.518825555555555
2023,207,5,0.0,0.0,0.389,33.11979,29.110000000000017,3.735009205250875,,,,,30.702222222222222,-2.41756777777778
2023,207,6,7.658643326039387,6.57,0.4021667,32.78991,28.420000000000016,3.659260622832697,,,,,29.986666666666665,-2.8032433333333344
2023,207,7,77.13347921225382,0.0,1.345667,34.28344,28.75,4.109487452829757,,,,,29.93333333333333,-4.350106666666669
2023,207,8,160.28446389496716,0.0,1.633667,35.60695,30.220000000000027,4.4545543057185,,,,,31.305555555555557,-4.3013944444444405
2023,207,9,242.88840262582056,0.0,1.828333,36.98588,31.99000000000001,4.940305356568529,,,,,32.955555555555556,-4.030324444444446
2023,207,10,315.6455142231947,0.25,0.9480333,38.61115,33.920000000000016,5.549983062185475,,,,,34.056666666666665,-4.554483333333337
2023,207,11,364.8796498905908,0.25,1.836333,40.85836,35.950000000000045,6.49899437410622,,,,,35.27,-5.588359999999994
2023,207,12,390.0437636761488,6.32,2.012333,42.7177,37.950000000000045,7.316125745679027,,,,,38.22333333333333,-4.4943666666666715
2023,207,13,392.77899343544857,0.0,2.927,43.1221,39.79000000000002,7.4632106288233615,,,,,39.70777777777778,-3.414322222222225
2023,207,14,363.78555798687086,0.0,3.337667,44.23066,41.450000000000045,7.939874709784972,,,,,41.04888888888889,-3.181771111111111
2023,207,15,315.6455142231947,0.25,3.225667,44.23517,42.77000000000004,8.002652804054748,,,,,41.51,-2.7251699999999985
2023,207,16,246.71772428884023,0.25,3.076333,44.92183,43.629999999999995,8.315951363519893,,,,,41.617777777777775,-3.304052222222225
2023,207,17,167.3960612691466,0.0,2.961667,44.80225,43.97000000000003,8.341548950134618,,,,,41.02333333333333,-3.7789166666666674
2023,207,18,86.43326039387308,6.32,3.444333,44.08777,43.83000000000004,7.992777039327773,,,,,40.00111111111111,-4.086658888888891
2023,207,19,20.787746170678336,0.25,2.596333,43.13803,43.28000000000003,7.585865378965218,,,,,39.422222222222224,-3.7158077777777763
2023,207,20,0.0,0.25,2.300333,41.8431,41.80000000000001,6.868311924634345,,,,,39.254444444444445,-2.5886555555555546
2023,207,21,0.0,0.0,1.879,41.23882,40.09000000000003,6.539500739661587,,,,,39.14888888888889,-2.089931111111106
2023,207,22,0.0,0.25,3.913666,37.55269,38.57000000000005,4.843212951008914,,,,,37.36666666666667,-0.1860233333333312
2023,207,23,0.0,0.0,1.4343,25.53395,37.33000000000004,0.9687934756249876,,,,,23.44222222222222,-2.0917277777777805
2023,208,0,0.0,6.32,2.092333,29.28571,36.14000000000004,2.0287460385883778,,,,,28.288888888888888,-0.9968211111111138
2023,208,1,0.0,0.0,1.0947,29.23123,35.08000000000004,2.0216490964082627,,,,,28.29222222222222,-0.9390077777777783
2023,208,2,0.0,0.0,0.0,30.47169,33.83000000000004,2.5185141945031604,,,,,29.06555555555556,-1.4061344444444401
2023,208,3,0.0,0.0,1.876333,31.71215,32.55000000000001,2.931385689699028,,,,,29.88888888888889,-1.8232611111111119
2023,208,4,0.0,0.25,1.601667,29.88873,31.410000000000025,2.224816643297528,,,,,28.526666666666667,-1.3620633333333316
2023,208,5,0.0,0.0,0.4457667,29.55659,30.33000000000004,2.1883207761062673,,,,,28.334444444444443,-1.2221455555555565
2023,208,6,4.9234135667396055,6.57,0.0,28.95782,29.430000000000007,1.8895991410530255,,,,,25.53222222222222,-3.4255977777777815
2023,208,7,53.61050328227571,0.0,1.182533,30.53947,29.629999999999995,2.2998671040654095,,,,,30.130000000000003,-0.4094699999999989
2023,208,8,160.83150984682712,0.25,1.601667,32.57528,30.950000000000045,2.98826284009486,,,,,30.43333333333333,-2.1419466666666693
2023,208,9,166.84901531728664,0.0,2.044333,33.682,32.73000000000002,3.5225873913329004,,,,,31.63222222222222,-2.0497777777777806
2023,208,10,321.1159737417943,0.25,1.1041,36.06108,34.47000000000003,4.2412616878389064,,,,,33.85333333333333,-2.207746666666665
2023,208,11,365.9737417943107,0.0,1.225667,38.1027,36.48000000000002,5.025999566596345,,,,,34.33,-3.7727000000000004
2023,208,12,391.68490153172866,6.32,1.919,39.18689,38.46000000000003,5.65507824255951,,,,,36.01888888888889,-3.16800111111111
2023,208,13,395.5142231947483,0.0,1.6812,40.85384,40.28000000000003,6.34904948687207,,,,,37.687777777777775,-3.166062222222223
