year,julian-day,standard-time,Solar_Wm2,Rain_mm,Wind_ms.1,Tair_C,Tsoil_C,D_kPa,GW,E-MD,P-PD,P-MD,leaftemp,leaf-air-temp-diff
2023,250,21,0.0,0.0,0.0,31.78427,33.09000000000003,3.9430087498476345,,,,,28.669999999999998,-3.114270000000001
2023,250,22,0.0,0.0,0.7271666,34.49809,31.5,4.774488088363631,,,,,32.07111111111111,-2.4269788888888897
2023,250,23,0.0,0.0,0.0,32.25892,30.03000000000003,4.024182948277489,,,,,30.995555555555555,-1.2633644444444485
2023,251,0,0.0,6.32,0.0,30.46262,28.69,3.454005986813525,,,,,27.225555555555555,-3.237064444444446
2023,251,1,0.0,0.0,0.0,28.63468,27.510000000000048,2.970096918722912,,,,,26.4,-2.234680000000001
2023,251,2,0.0,0.0,0.0,27.15121,26.420000000000016,2.7524204599195494,,,,,24.14333333333333,-3.007876666666668
2023,251,3,0.0,0.0,0.0,28.32089,25.430000000000007,2.9726665215559316,,,,,24.721111111111114,-3.599778888888885
2023,251,4,0.0,0.0,0.7427,28.09524,24.55000000000001,2.9688332010193785,,,0.644,,24.86777777777778,-3.227462222222222
2023,251,5,0.0,0.0,1.247,28.54464,24.04000000000002,3.065174860404283,,,,,26.515555555555554,-2.0290844444444467
2023,251,6,0.0,6.32,0.5049,27.16151,23.760000000000048,2.6495586116069108,,,,,25.827777777777776,-1.333732222222224
2023,251,7,43.7636761487965,0.0,0.0,27.80075,23.879999999999995,2.74800812546381,,,,,24.16888888888889,-3.6318611111111103
2023,251,8,169.58424507658643,0.0,0.0,32.12578,24.970000000000027,3.825704218500161,,,,,30.061111111111114,-2.0646688888888853
2023,251,9,239.6061269146608,0.0,1.460333,32.9884,26.510000000000048,4.135590422096471,,,,,33.336666666666666,0.3482666666666674
2023,251,10,306.3457330415755,0.0,1.508333,34.90103,28.08000000000004,4.889250049977967,,,,,35.82666666666667,0.9256366666666693
2023,251,11,372.53829321663017,0.0,1.273667,36.59838,29.57000000000005,5.32519110119481,,,,,38.964444444444446,2.366064444444447
2023,251,12,384.02625820568926,6.32,1.745667,37.58792,30.94,5.777555809988382,,,,,38.81333333333333,1.2254133333333357
2023,251,13,374.1794310722101,0.0,2.295,38.99257,32.170000000000016,6.221195461521514,,,,,40.89111111111111,1.8985411111111077
2023,251,14,352.8446389496718,0.0,1.929667,40.14912,33.34000000000003,6.777075622498759,,,,2.1006666666666667,41.778888888888886,1.6297688888888828
2023,251,15,298.14004376367615,0.0,1.804333,40.62984,34.29000000000002,6.92737748203891,,,,,42.05222222222223,1.4223822222222253
2023,251,16,216.63019693654263,0.0,2.572333,41.39142,34.920000000000016,7.193083921528045,,,,,41.72222222222222,0.3308022222222249
2023,251,17,120.35010940919037,0.0,1.887,41.11161,35.19,7.0231475471899705,,,,,39.964444444444446,-1.1471655555555529
2023,251,18,38.84026258205689,6.32,1.601667,40.1446,34.84000000000003,6.565213184258583,,,,,38.19222222222223,-1.9523777777777696
2023,251,19,0.5470459518599562,0.0,2.257667,38.89592,33.99000000000001,6.122197816236305,,,,,36.13666666666667,-2.7592533333333265
2023,251,20,0.0,0.0,2.233666,38.09601,32.98000000000002,5.737847947595065,,,,,36.67888888888889,-1.4171211111111077
2023,251,21,0.0,0.0,0.1416333,36.22619,31.980000000000015,4.997150168379353,,,,,34.68555555555556,-1.5406344444444429
2023,251,22,0.0,0.0,0.2098667,35.25245,31.090000000000032,4.664286787475382,,,,,33.836666666666666,-1.4157833333333372
2023,251,23,0.0,0.0,0.3003667,34.83024,30.170000000000016,4.548868082637132,,,,,32.56888888888889,-2.261351111111111
2023,252,0,0.0,6.32,0.0,31.67371,29.28000000000003,3.5948514387699047,,,,,28.580000000000002,-3.093709999999998
2023,252,1,0.0,0.0,0.0,33.4768,28.49000000000001,4.0731435461994945,,,,,32.19555555555556,-1.2812444444444395
2023,252,2,0.0,0.0,1.164967,32.66337,27.58000000000004,3.8903970524000986,,,,,29.255555555555556,-3.407814444444444
